trial,variant,operation,bits,source_offset,iterations,ns,checksum,encoding
3,baseline,bit_profile_reconstruct,1024,0,7943,46886.7,514304,8959399144852600447
4,baseline,order_and_lcp,64,0,131072,15.192,8339456,0
4,baseline,order_and_lcp_early,64,0,131072,3.08672,131072,0
4,baseline,copy_to_aligned,64,0,131072,2.76057,14951330,10612444265752500643
4,baseline,copy_to_shifted,64,0,131072,86.9834,18885030,16857641075921078406
4,baseline,front_order_and_lcp,64,0,131072,6.69479,999424,0
4,baseline,order_and_lcp,65,3,129055,125.713,8388576,0
4,baseline,order_and_lcp_early,65,3,129055,3.56437,129056,0
4,baseline,copy_to_aligned,65,3,129055,89.2423,15298147,1059025378906581750
4,baseline,copy_to_shifted,65,3,129055,88.1452,15909312,14652123482455320431
4,baseline,order_and_lcp,512,0,16384,74.8393,8386560,0
4,baseline,order_and_lcp_early,512,0,32768,3.09119,32768,0
