mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
tiled,1,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.685792,16.660458,6.460541,1.60087493714,1.221125,0.039584,0.936459,0.276208,1.438,2.548666,36864,140062520,17513752,2035597497
tiled,1,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.808333,16.411542,6.19025,2.10516666993,1.150375,0.039042,0.853875,0.288458,2.587042,1.271,36864,140062520,17513752,2035597497
levelwise,1,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.426,6.802958,3.8455,1.80099997669,1.286,0.028541,1.620833,0.284542,0.290167,0.334959,24568,3014314,379848,1580578734
levelwise,1,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.244375,6.569292,6.21725,2.55304150051,3.0195,0.045416,1.179792,0.634208,0.596583,0.741374,24568,3014314,379848,1580578734
levelwise,1,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.658709,7.0855,4.237667,2.53833329771,1.676834,0.027459,1.236709,0.3075,0.654375,0.3345,24568,3014314,379848,1580578734
tiled,1,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.572125,6.927833,3.714333,1.74683326622,1.185333,0.023292,1.647708,0.260792,0.30125,0.295667,24568,3014314,379848,1580578734
tiled,1,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.531792,6.960375,3.530958,2.013416728,1.130708,0.03175,1.358,0.326,0.33,0.354291,24568,3014314,379848,1580578734
tiled,1,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.465042,6.88625,6.482416,4.5054583461,1.305416,0.025583,3.821667,0.264375,0.648375,0.416625,24568,3014314,379848,1580578734
tiled,2,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.865125,17.7355,6.593459,3.03295830963,2.01025,0.040084,1.246333,0.300792,1.652,1.343666,36864,140062520,17513752,2035597497
tiled,2,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.074417,16.925792,7.374292,2.76304164436,3.098958,0.0705,0.7965,0.674625,1.266042,1.467167,36864,140062520,17513752,2035597497
