profile,distribution,records,key_bytes,access,variant,process,trials,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_min_ns,cpu_median_ns,cpu_max_ns,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
typed-byte,structured,131072,16,random,direct64,2,3,2979.177,2991.809,3056.097,1.0258192111445543,2963.037,2979.654,3036.469,1.0247826807427651,0.9935774289886741,0.994582396413506,0.9959372406460438
typed-byte,structured,131072,16,random,packed,0,3,2975.253,2985.264,3007.685,1.0109005855972584,2967.328,2971.688,2996.664,1.0098863354506142,0.9954523285042797,0.9963357199972738,0.9973363609750162
typed-byte,structured,131072,16,random,packed,1,3,3120.647,3160.442,3171.675,1.0163517373160118,3107.956,3142.881,3157.159,1.015831305205093,0.9944434987258111,0.9954232385096203,0.9959332151313495
typed-byte,structured,131072,16,random,packed,2,3,3124.489,3166.164,3166.58,1.0134713228307093,3109.409,3145.305,3150.19,1.0131153540753242,0.9932813950697598,0.9949547780847738,0.9951736107888363
typed-byte,structured,131072,16,random,sub32,0,3,3407.51,3423.442,3445.463,1.011138045082773,3384.597,3405.636,3431.877,1.013969166787065,0.993275735067542,0.9947988019075539,0.9960568434489065
typed-byte,structured,131072,16,random,sub32,1,3,3405.817,3430.605,3448.679,1.0125849392377806,3395.473,3412.275,3426.981,1.009279414090467,0.9937083155608278,0.99465691911485,0.9969628432766646
typed-byte,structured,131072,16,random,sub32,2,3,3263.759,3421.469,3485.772,1.0680237113095667,3254.568,3406.286,3466.913,1.0652452184130121,0.9945897207275749,0.9955624323938052,0.9971839219746311
typed-byte,structured,131072,16,sorted,base,0,3,3138.252,3150.647,3178.717,1.0128941206760962,3122.808,3128.901,3162.361,1.0126658443298466,0.9930979256006782,0.9948545277858959,0.9950787890838594
typed-byte,structured,131072,16,sorted,base,1,3,3041.569,3067.441,3087.43,1.0150780731918296,3022.71,3051.975,3066.287,1.0144165335080109,0.9931519095169768,0.9937995817290353,0.9949580122323461
typed-byte,structured,131072,16,sorted,base,2,3,3145.174,3154.116,3158.992,1.004393397630783,3122.954,3135.988,3139.839,1.0054067399007478,0.9929352080361851,0.9939369900271985,0.994252589315041
typed-byte,structured,131072,16,sorted,direct32,0,3,2802.597,2809.927,2818.525,1.005683300167666,2789.597,2796.019,2804.66,1.0053997046885266,0.9950504052240502,0.9950807603267666,0.995361445116797
typed-byte,structured,131072,16,sorted,direct32,1,3,2744.646,2783.776,2832.816,1.0321243613930537,2735.245,2771.446,2818.213,1.0303329317849041,0.9948450587683776,0.9955707643143702,0.9965747859651116
typed-byte,structured,131072,16,sorted,direct32,2,3,2831.284,2832.759,2854.088,1.008054296213308,2811.482,2814.345,2841.396,1.0106399400743096,0.9930060001045462,0.9934996235119189,0.9955530453160519
typed-byte,structured,131072,16,sorted,direct64,0,3,2838.584,2850.808,2854.937,1.005760970962987,2823.736,2834.515,2841.647,1.0063430150693975,0.9942847782102477,0.9947692229646895,0.9953449060347042
typed-byte,structured,131072,16,sorted,direct64,1,3,2788.803,2809.073,2812.187,1.0083849594252445,2773.483,2792.426,2797.113,1.0085199729005008,0.9940738457135148,0.9945066037292704,0.9946397590202927
