variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
candidate_reuse,0,byte-15-0,build,2,3,2632,594125,0,0,0,0,1583706055
candidate_reuse,0,bit-3-0,build,1,1,5690,1819542,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,2,1,5690,1694000,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,3,1,5690,1510292,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,0,1,5690,1700333,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,query,0,1,4096,26554708,0,0,0,0,6584442294199094370
candidate_reuse,0,bit-3-0,build,2,2,5690,1665334,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,3,2,5690,1512791,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,0,2,5690,1758708,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,query,0,2,4096,26808292,0,0,0,0,6584442294199094370
candidate_reuse,0,bit-3-0,build,1,2,5690,1714750,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,3,3,5690,1464291,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,0,3,5690,1745417,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,query,0,3,4096,26751500,0,0,0,0,6584442294199094370
candidate_reuse,0,bit-3-0,build,1,3,5690,1656875,0,0,0,0,3340569477
candidate_reuse,0,bit-3-0,build,2,3,5690,1699000,0,0,0,0,3340569477
candidate_reuse,0,bit-15-0,build,1,1,2632,998042,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,2,1,2632,1005000,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,3,1,2632,901333,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,0,1,2632,941709,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,query,0,1,4096,24560542,0,0,0,0,6584442294199094370
candidate_reuse,0,bit-15-0,build,2,2,2632,1032209,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,3,2,2632,915416,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,0,2,2632,997125,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,query,0,2,4096,24268334,0,0,0,0,6584442294199094370
candidate_reuse,0,bit-15-0,build,1,2,2632,952375,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,3,3,2632,1086042,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,0,3,2632,972708,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,query,0,3,4096,24841709,0,0,0,0,6584442294199094370
candidate_reuse,0,bit-15-0,build,1,3,2632,938125,0,0,0,0,3904194795
candidate_reuse,0,bit-15-0,build,2,3,2632,910084,0,0,0,0,3904194795
candidate_reuse,0,byte-3-4096,build,1,1,5690,1128750,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,build,2,1,5690,1614875,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,build,3,1,5690,1159542,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,build,0,1,5690,1194375,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,query,0,1,4096,20796541,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-3-4096,build,2,2,5690,1173292,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,build,3,2,5690,1063208,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,build,0,2,5690,1238458,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,query,0,2,4096,21514292,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-3-4096,build,1,2,5690,1149542,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,build,3,3,5690,1112667,0,0,0,0,2588134493
