records,key_bytes,distribution,query_kind,access,profile,process,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
131072,16,structured,mixed,independent,typed-byte,2,3224.808,3287.974,3344.004,1.0369622005403112,1.035958974269832,0.9980349903887675,0.9983865444191468,0.9990014909414763
524288,128,hash,hit,dependent,typed-bit,0,8397.207,8567.378,9107.651,1.0846047977619224,1.087142274364202,0.996613993200358,0.9968285512790495,0.9989456117719049
524288,128,hash,hit,dependent,typed-bit,1,8579.885,8708.405,8755.666,1.0204875706376018,1.0250454961989701,0.9933338267354399,0.995951267769471,0.9977704722861745
524288,128,hash,hit,dependent,typed-bit,2,8127.741,8434.453,8512.248,1.0473079789328916,1.0476729095741373,0.9965957330579309,0.9969429932022659,0.9981222255906815
524288,128,hash,hit,dependent,typed-byte,0,4040.258,4058.665,4163.366,1.0304703313501267,1.0306461329490728,1.0000138605009878,1.000184466126687,1.0002079501510965
524288,128,hash,hit,dependent,typed-byte,1,4063.227,4502.416,5120.504,1.2602062350934369,1.2025488135465603,0.9544496010548962,0.9901888230674376,1.0002116544313178
524288,128,hash,hit,dependent,typed-byte,2,4433.289,4440.75,4548.365,1.0259572520537235,1.0282793026280512,0.9944458843084673,0.9963382311546473,0.9966966151573149
524288,128,hash,hit,independent,typed-bit,0,8594.818,8730.82,8801.885,1.0240920750154339,1.0249728972186556,0.9954131663986371,0.996269321855489,0.9969519472397783
524288,128,hash,hit,independent,typed-bit,1,8314.25,8462.102,8891.581,1.0694387347024688,1.0724464429280867,0.9945498391316113,0.9960492085772541,0.9973469285158624
524288,128,hash,hit,independent,typed-bit,2,8263.952,8357.463,8443.456,1.0217213265517515,1.0286331313861286,0.9919415069206599,0.9947344068409277,0.9986518553540162
524288,128,hash,hit,independent,typed-byte,0,4091.573,4130.722,4201.192,1.026791407607783,1.0267249193010564,1.0000171882784656,1.000054508339538,1.000119269532769
524288,128,hash,hit,independent,typed-byte,1,4316.116,4582.738,4668.777,1.0817079522422475,1.0710133366108636,0.989212592505489,0.9936060058419223,0.9990903858932428
524288,128,hash,hit,independent,typed-byte,2,4420.832,4877.538,4885.579,1.1051265915556165,1.105619510964573,0.9960748639990095,0.9971213563419735,0.9975661021958708
524288,128,hash,miss,dependent,typed-bit,0,8685.954,8896.998,9092.718,1.0468300891301061,1.0498315592511602,0.9954078734471768,0.997050128593937,0.9982619058459747
524288,128,hash,miss,dependent,typed-bit,1,8718.389,8774.678,9142.359,1.0486293970135998,1.0482300200780308,0.995118765298978,0.9954979067807139,0.9957808138372714
524288,128,hash,miss,dependent,typed-bit,2,8610.397,8706.192,8796.829,1.0216519633182999,1.020108390681224,0.9937805185091255,0.9975189923550862,0.9990283839409495
524288,128,hash,miss,dependent,typed-byte,0,4203.908,4211.349,4348.495,1.0343934738819212,1.0343940332803283,1.000018316290461,1.0000188570988353,1.000116114812617
524288,128,hash,miss,dependent,typed-byte,1,4243.907,4974.594,5057.709,1.1917577364442717,1.1666329327121885,0.978778167625338,0.9789376968900346,1.0000202643460379
524288,128,hash,miss,dependent,typed-byte,2,4815.633,4892.365,4913.457,1.0203138403611738,1.021806168226869,0.9955316089457757,0.9967574356268428,0.9982153095061176
524288,128,hash,miss,independent,typed-bit,0,8710.887,8984.884,9036.057,1.037329149144054,1.0398765377582848,0.9956989454690435,0.997948443185243,0.9981441020126367
524288,128,hash,miss,independent,typed-bit,1,8737.015,9064.392,9304.733,1.0649784852149162,1.0668442865532914,0.9960471625606686,0.9977921988734121,0.9981140489069759
