mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
separate,1,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.333709,15.608334,5.710459,1.66354171233,2.041125,0.042375,0.466791,0.262417,1.496208,1.401417,36864,140062520,17513752,2035597497
fused,1,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.342833,16.804333,8.322416,4.9688332947,4.382625,0.048,0.756,0.367084,1.5945,1.173958,36864,140062520,17513752,2035597497
fused,1,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.559584,17.100459,5.051958,1.57866661903,1.500375,0.042791,0.845292,0.303,1.21025,1.150041,36864,140062520,17513752,2035597497
fused,1,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.694083,22.167583,6.880458,3.22762498399,3.294208,0.03075,0.584916,0.299833,1.506583,1.16375,36864,140062520,17513752,2035597497
separate,1,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.537458,6.834,3.483917,1.38204172254,1.120292,0.025042,1.409958,0.260333,0.3695,0.298625,24568,3014314,379848,1580578734
separate,1,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.46675,6.770542,5.971917,1.90695835045,2.621292,0.034584,1.050916,0.617792,0.790125,0.856959,24568,3014314,379848,1580578734
separate,1,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.772834,7.129917,6.092208,2.01125000603,2.705958,0.031292,1.148417,0.6425,0.673375,0.890375,24568,3014314,379848,1580578734
fused,1,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.526792,6.886708,3.481459,1.18462502724,0.706292,0.028416,1.243459,0.753334,0.621084,0.128625,24568,3014314,379848,1580578734
fused,1,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.862375,7.186333,2.942833,1.3950416469,1.134916,0.03225,1.045917,0.311416,0.298292,0.119666,24568,3014314,379848,1580578734
fused,1,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.766042,7.155834,2.897875,1.28479168052,0.688334,0.024792,1.498708,0.269959,0.265542,0.150208,24568,3014314,379848,1580578734
fused,2,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.223375,17.420459,5.8585,1.97133340407,1.413583,0.035416,0.5165,0.293792,2.269,1.329917,36864,140062520,17513752,2035597497
fused,2,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.872833,16.658166,6.977875,2.11166660301,2.836167,0.045917,0.56125,0.663833,1.615375,1.255041,36864,140062520,17513752,2035597497
fused,2,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.754458,16.591333,8.402792,4.981791717,1.718042,0.038708,1.837583,1.754375,1.879625,1.174166,36864,140062520,17513752,2035597497
separate,2,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.781583,17.484417,4.591,1.26108335098,1.141083,0.035708,0.492958,0.284208,1.279792,1.356791,36864,140062520,17513752,2035597497
separate,2,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.728417,16.413042,8.0825,3.23933339678,1.780041,0.048958,1.511625,1.231,1.71375,1.796626,36864,140062520,17513752,2035597497
separate,2,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.42475,16.17525,5.895333,2.34170834301,1.483833,0.047667,0.932166,0.266459,1.752334,1.412582,36864,140062520,17513752,2035597497
